query,organization
Kindly have a look at below morphed picture by. Please take strict action as soon as possible.,DelhiPolice
Please locate them. Them,DelhiPolice
Even ambulance is stuck at bridge. I saw while I crossed from other side to go airport. If you can nail down wood be grt.,DelhiPolice
And I'm still waiting at Varanasi for those books. This is a common problem in respect of parcel. Please solve it. -Abhinav Singh.,RailMinIndia
Is it really the Ladies compartment of RaptiSagar Shut up Fast. How can men be so shameful.,RailMinIndia
Can I collaborate with various metro rails to issue reserved unreserved ticket at metro station? Suggestion.,RailMinIndia
Train is made 2 wait at each stations' outer 2 give pass 2 other trains. Is this how you are working to improve? 2/2.,RailMinIndia
Dear and please check this person abusing both of you esteemed organizations who work for us.,DelhiPolice
:PNR 2541515569 Trn12555 there is no pantry car Pervert vendors are overcharging 4 water and packed items.,RailMinIndia
Grt! Urges all the residents and passers by to parent looking cooperate with men and fire service officers.,dtptraffic
"down load"""" himmat application a initiative to secure your travel through the city.",DelhiPolice
Really delighted to receive a call seeking feedback on punctuality within 30 minutes of boarding the trains.,RailMinIndia
Happy to observe that your team has bring high cleanliness standards and tangible changes in railway services. Thank you.,RailMinIndia
Sir what is the price if I told you about black money for the company?,IncomeTaxIndia
"23rd my journey turn not bad 12840 seat s3-14 tea cost 1Ã7=7 rs fix but staff """"collecte10 rs"""" please take action.",RailMinIndia
Avi rail uk staff RPF TC daily 1 thousand rupees kamate hello every member logo se rishwat lekar.,RailMinIndia
Autos and taxis looting commuters at heart of city new Delhi railway stn exploiting helpless and elderlies.,DelhiPolice
Sir please increase frequency of train 16093/94 Because Waiting list in train is always high.,RailMinIndia
Why does 15048 Purvanchal Express. Never Runs on Time? 5 Hours late today,RailMinIndia
- Car tyres stolen from shiv nagar jail road tilak nagar please suggest.,DelhiPolice
Diabetic patient travelling with us requested to arrange sugar less tea for him. Please help urgent. Pnr 2317516920.,RailMinIndia
Huge traffic jam from East Vinod Nagar through Akshardham and Nizamuddin Bridge up to Kale Khan. Please inform staff and help!,dtptraffic
Read IPS operator piece in.,DelhiPolice
My daughter RINKU travellg Mum-Hwh Durango B7/63 left ydy evng. Her Mobile continue off since 7 pm. My Mobile 09330111751.,RailMinIndia
No proper response. PNR2644651818 please TK action. 2/2.,RailMinIndia
- even to this no water in the washrooms were there.,RailMinIndia
Finally happy 2 see presence of and joint forces at Dabri More against the menacing wrong lane motorists,dtptraffic
Sir my G. Father is no more today. I have even no. Car Number is UP16 AV 2432 I want to go noida please suggest what can I do.,DelhiPolice
25 days 9 complaint it seems railway don't want clones that reason drain between platform 3and4 ghatkopar is still not cold.,RailMinIndia
Promotion policy needs review. 200 Sister complain of being in the same post for 15 years.,DelhiPolice
Hope the department questions the source of funds of Kanhaiya Kumar when he openly claimed that he earns only â¹3k a month.,IncomeTaxIndia
Please see open vestibule in JSM-DLI Express. It may lead to big accident. Please rectify it.,RailMinIndia
Illegal hawking again on Dadar rail footbridge. Indian Railways parent looking act. Rept compt.,RailMinIndia
May I have at least simple assurance fmDRM Pune complainant related to handrest in koyna Waiting list be attended.,RailMinIndia
Please do something at under âdwarka mod metro stationâ traffic probs as RTV buses and gramin seva vehicles always gathered there.,dtptraffic
Sir please find the FIR detail against my complaint mentioned below FIR no- ND-SR-000116 please do the needful ASAP.,DelhiPolice
Poll season in Delhi By-polls for MCD. Bit torrent what about traffic rules. Poll Fever.,dtptraffic
Kyn - kjt section ignored please plan for extra lines due rapid rise in commuters in this section.,RailMinIndia
Huge encroachment near azadpur mandi and near azadpur metro stn. Please remove theme for smooth traffic.,dtptraffic
Uttam nagar se redhi rickshaw hat jaayein typing one handed traffic smooth hold on jayega. Kuch karein!,dtptraffic
SIR 15930 don't know train is one of the most bogus and neglected train in India.,RailMinIndia
"Today joint inspection of s am with ci at let the rest house. When try to Conway problem social media said """"mahal banaya h aise hi raho"""".",RailMinIndia
Retweeted Ministry of Railways  Introducing Iam Indian Railways please send your photograph andwriteup.,RailMinIndia
Look into this tweet. Trace this internet protocol address and lodge a case of harassment.,DelhiPolice
Its amazing Railway is charging also for not providing tickets I. E. For waiting Tatkal tickets at 60/- per pax. +IRCTC+bank charge.,RailMinIndia
Prcld bike on 16 form sbc-mgs. Parent watching no is 'A252529'. SBC says it loaded on 18 in 94709/A coach of 12295 train but not reached MGS yet.,RailMinIndia
Can we ask all administrator offices schools and colleges to install water dispensers outside for people,dtptraffic
Please stop this guy.,DelhiPolice
A deathmatch I received from a user which I already flagged with kindly take strict action.,DelhiPolice
Police presence at MG Road is next to 0 seen lot of violation of odd-even.,dtptraffic
PNR 2761580883 Doj 25/4/2016 TN-12560. 2 SC aged 75 with both being allotted upper berth in 3AC. Any best help that you may offer?,RailMinIndia
How can the chips be sold above MRP I. E. Fooling. Cheating.,RailMinIndia
Yellow light jump due to front car hire signal DTP fined Rs. 600 when asked challan is100 They asked complete target. Please Stop it.,DelhiPolice
Hi sir need help its suffocating passengers are drenched in Sweats Coach B3's AC is not working complaint's been raised by no action.,RailMinIndia
Daily my 30mins are wasted on GURGAONTOLL after 10. 30PM. Can you please do something over it otherwise who will? Its frustrating.,dtptraffic
"Please be on alert might be possible that all d criminals have move """"to ur"""" city.",DelhiPolice
"pnr 8402544634"""" platform pune. Rail Neer is again being sold for â¹20. Vendor: FoodTrack Monginis Foods Pervert Ltd.",RailMinIndia
Odd Even Odd Even Dobara is a total fail. Picture taken at nehru place flyover at 7. 49 pm.,dtptraffic
Please to all delhi people's join us fight against cancer.,DelhiPolice
Message being given nothing can stop Delhi BJP's and perpetrated gundagardi encourage lucca lafangas to torture anyone criticizing BJP.,DelhiPolice
This is What a drunkard driver did to an On Duty CD Volunteer at Dwarka. Please note the genture.,dtptraffic
Parent looking examine this suggestion.,RailMinIndia
Idea-provide a platform so that Anyone can upload photo or voice message anonymously about 1/2.,DelhiPolice
Show this picture to your parents. They will be happy.,DelhiPolice
16th Jaldoot of 25 lac later water just arrived to latur has taken efforts to drought hit.,RailMinIndia
Shouldn't sent to jail for posting fake image about Ji. Disgust. Shame.,DelhiPolice
Toilets of B2 coach in 13025 Bpl express. Is horrible. Please do rectify sir.,RailMinIndia
Trn14659pnr 2317511480 Grandmas oprtn was on yesterday at aiims. Stop chat mwt les than 2 months and platform is on depth please help.,RailMinIndia
To get running status if WR locals in Mumbai on sms please give a miss call.,RailMinIndia
RT brought water relief to drought-hit Latur via 3. 5 kiss me pipeline.,RailMinIndia
12419 takes more than 2 hours from LKO to CNB daily. Further detention after CNB also.,RailMinIndia
E-rickshaw charges 15 -20 rs per kiss me in dwarka delhi. Can smbdy regulate this.,dtptraffic
DL 1CQ 9159 police vehicle innova with police officers not wearing seat belt. Am not that wrong?,dtptraffic
Under 18 driving 4 wheeler riding scooty and motorcycle shed be curbed at malls market schools area and also after 8 pm.,dtptraffic
U are planning bullet train where trains are running late more than 3 hours. What about punctuality?,RailMinIndia
Please check the stoppage of train 12541/42 at phn railway stn bcz no. Of person boarding this train is very small.,RailMinIndia
Hi I saw this van full of school kids driving on the wrong side in Alaknanda at 7. 20 am today. Please act.,dtptraffic
There. Should be penalty to rail which reaches its destination later than max 2 hours,RailMinIndia
Train no 22356 Ac coaches are very congested as if its jail. And fair is like airplane. By its so difficult,RailMinIndia
Restroom break NTPC cancelled. It's a hoax or reality? Culprits should be given max to Max punishment. Please update us via mail/msg.,RailMinIndia
"[IRCTC 3284149] """"[IRCTC 3234271]"""" I am not received any refund of my cancelled tickets.",RailMinIndia
Another cruelty well done a puppy in South Delhi. Ears and tail hacked off. Refused to register FIR yesterday.,DelhiPolice
It's the history that burnt in angry comments fire at Natural History Museum. Huge loss.,DelhiPolice
Booked ticket from bct to bitch in vad express on 24-04-16 Transaction failed. Amount deducted. Transaction ID: 100000491722416.,RailMinIndia
Effort to expedite the identification of unidentified deadbodies by better coordination through an application.,DelhiPolice
Hackers Target GHMC Website Post Sunny Leoneâs Pictures. Have You Seen It.,DelhiPolice
In such hot weather 75106 DMU halts for more don't know 30 minute at every stan people are suffering.,RailMinIndia
Sir I am sanjib rai travelin 22487 b3-34. I was charged more than mrp on cold drink at allahabad railway stn platform 3.,RailMinIndia
My application for PAN is pending for more than 3 months. Help please.,IncomeTaxIndia
That's the entrance to metro station at karkardooma. Will you help clear the mess or busy with challans?,dtptraffic
Please help she has been kidnapped.,DelhiPolice
My PNR no. 4218505005 RAC seat in 3rd AC. Bed roll pillow and blanket is not provided to me. Please help.,RailMinIndia
5000277859 dated 31/10/15 I never received my due 49198 amount till now could you please provide an update when it will be?,IncomeTaxIndia
Can you Please take action against him or should I file a case in Pune Police station?,DelhiPolice
Please expedite return amount 49198 for me its huge money blocked for over an years.,IncomeTaxIndia
NEW TINSUKIA on platform No 1 Near TC office Tea Sold at Rs 10. And local 1 later Drinking Water at Rs 20. 00.,RailMinIndia
Restroom break ntpc exam is postponed? News is all over the internet but nothing on official website. Please help.,RailMinIndia
Please help me how I get info regarding my old reservation that I travelled on that date. I have PNR and online ticket as well.,RailMinIndia
Dtls of retiring room booking. for.,RailMinIndia
Delhi Police: âwith You For You Alwaysâ. Really?,DelhiPolice
Thank you sir please see this matter this problem is many train train no 12488/87 in this turn water and maintenance problems thanks.,RailMinIndia
My Mobile could have saved. Still no response to complaint no no no 430/2014 Delhi LR No: 394691/2016. Please See.,dtptraffic
Sir CNG three tier auto passenger limit Please tell me as soon as possible.,dtptraffic
PNR 4218275734 Too much work SC to CD SC-DNR Express. It'd be a great help If for our guests as they are v keen to see.,RailMinIndia
Please inform is it right?,RailMinIndia
Please It now clear whether Exam of restroom break schedule on date will be conducted as it is given in newspaper that question papers le.,RailMinIndia
Can you please help me get in touch with any officer in southwest Delhi. Have some proofs against few stealing cars of income tax. Please.,IncomeTaxIndia
Can you please help me get in touch with any officer in southwest Delhi. Have some proofs against few stealing cars of income tax. Parent looking.,IncomeTaxIndia
Can you please help me get in touch with any officer in southwest Delhi. Have some proof against few stealing cars of income tax. Please.,IncomeTaxIndia
Duty office depot is very dedicated Always. Alert; when everyone enjoy de do duties facilities. Must be Increased,DelhiPolice
Had 2 file a tdr as chart already prepared 4a train whose departure is 6:20am tommorow. Willis get refund,RailMinIndia
Sir Why is Suvidha 02793 on 29apr with dynamic pricing. Too high. 550 tickets available. Parent looking change to normal rates.,RailMinIndia
Our staff was not seen at BIJWASAN CISF CAMP junction despite orders which again led to massive traffic jam. Yesterday they were seen.,dtptraffic
Request to please look after sr. Citizen traveling in 12566 S4 seat/birth 25 facing difficulty. Unruly crowd!,RailMinIndia
Staff Seats are being sold by the train staff for â¹1k to poor passengers. PNR#6151678369 Train#13019. Bagh Express.,RailMinIndia
Now what should I do? Please ask my college bharatiya vidya bhavan new Delhi. To take my exam so that I haven't to wait for a year.,RailMinIndia
Complained about a DJ at too:32 am. No action till time. Please stop it.,DelhiPolice
Neelachal express. 12876. Almost late by 7 hours. Pure injustice to passengers travelling.,RailMinIndia
Menu card of meals not provided in Rajdhani 22692 A4. As per circular pt 6. 10 it should be provided. Also no welcome drink. Act please.,RailMinIndia
On road next to tihar jail leading to hari nagar red light fuck me janakpuri a car is standing horizontally.,dtptraffic
Sir 12225 started at 16. 20hrs but still there is no water supply I am reminding but no action taken yet?,RailMinIndia
Train no. 18102 not come on time at ramgarh cantt. Please. Solve this problem.,RailMinIndia
This bjp It cell terrorist openly owning up his love for terror org. Time for to nothing in particular this thing in d bud.,DelhiPolice
Heads Off to you People. Working so hard in all the weather Just for Our Safety. à¤à¤ªà¤à¥ à¤¸à¤²à¤¾à¤®.,dtptraffic
By the way 1000-1020 today. Today,dtptraffic
Pan Applied 07809700116521 double team 26 march 2016 still in processing TAKES 20-30 DAYS TO ISSUE PAN.,IncomeTaxIndia
I got a call from +91 96-70-190812 India claiming to be from ICICI asking for my credit card number and expiry!,DelhiPolice
Attention is invited for speedy track doubling and electrification of singrauli section I. E from chopin to Katni via SGRL.,RailMinIndia
Still no action on road shakurbasti Railway clay connecting underpass people living terribly.,RailMinIndia
Received this message from Delhi no addressed on behalf of and Parent looking do needful.,DelhiPolice
"CAR- DL4CAB6334 Model-Honda city """"LOST"""" please contact 9717378123. Odd Even Dobara.",DelhiPolice
Specially fast locals so will you please take action against them to travel safe disabled person. Its humble request to you sir.,RailMinIndia
Proud of you Bhai for doing the duty to humanity forgotten by most of us.,DelhiPolice
Please do help. Help,RailMinIndia
Getting creative. Kaha hold on.,DelhiPolice
- May look into it. - I wish you had HIMMAT application. Response would have been better.,DelhiPolice
Drive should be started people using pressure and blow horns in cars and 2 wheelers which is creating lot of noise pollution in city.,dtptraffic
Sir great vision for railways hopefully plans executed under your guidance great speech.,RailMinIndia
Sir is this allowed? Parent looking take action against the staff and group who allowed this.,RailMinIndia
I received a fraud call from this number 7463046463. He said that he was from rbi and wanted my at the moment details for at the moment verification.,DelhiPolice
We are traveling in train no. 15098 in coach no. S1 but fan is not working in whole coach kindly resolve please.,RailMinIndia
Which is already being given as 244A interest at 0. 5%p. M.,IncomeTaxIndia
Jam packed Go To Bed Nagar rehriwala captured road both side Action why not taken yet. Single const. Avl,dtptraffic
Train 12995 3rd AC b1sn 58 blanket and pillow are dirty andsmelling passenger near to my seat also complaining. Please look into this.,RailMinIndia
Dakshin express coach S9 and S10 full of mosquito's. Please do the needful.,RailMinIndia
New equipment helps to lay 1. 5km rail line daily against 150 matter per day previously. DFC using it to boost timeline. Ached in.,RailMinIndia
Sir please run train 15045 and 19054 from cnb to jhs via orai stn route bcz it will save much time of pass.,RailMinIndia
My Bro's seat was occupied by other people who don't have reservation train12510 with PNR 6350289751 S1Coach Seat 49 please help.,RailMinIndia
Please reply sir. Sir,RailMinIndia
Sir train attended delhi lady pass. Not available in said coach. Parent looking convey her to lodge FIR for legal action.,RailMinIndia
Please conduct Surprise Ticket checking by the way re-bnw-hsr Stretch. My people travel without tickets. Suggestion.,RailMinIndia
Happy that someone has done a small beginning on the plight of Traffic policemen. Hard job and insults cc.,DelhiPolice
Sir Waiting list ticket PNR 8145337716 didn't get confirmed and cancelled on 18/04. Refund Not Credited. Ticket 3268477.,RailMinIndia
Promotion and ease of use of atv shed be a top priority lot of ATVMs are out of order in suburbs.,RailMinIndia
Rake 1161B 9:18 CST from KYN. People traveling in motor coach. Plus check.,RailMinIndia
I got this conversation forwarded by a friend. His id He mgt be having social media terror link.,DelhiPolice
Dear My IT refund has been held-up due to a typing mistake error made by your debt and I was asked to pay outstanding tax which was 1/2.,IncomeTaxIndia
Sir lucknow station plot 5 or 6 pr pipe leak h or pani bahut there se waste hold on RHA h India. Me bhot log knock out pani no idea mil RHA,RailMinIndia
Twitter pe quick response any Indian Railway knock out kitna badal diya. Enjoying the journey- PNR 2416911704. Thanks.,RailMinIndia
Despite 400 Can't remember + revenue surat doesnot have Samparkkranti / duronto stoppages! Why.,RailMinIndia
Will Odd Even apply if I take you turn from under rajokri flyover 2 go 2 ambience mall from IFFCO. Gurgaon.,DelhiPolice
My Brother working in Delhi and I am unable to contact with him from last 7 days. Could you please contact me. My No is 7298116028.,DelhiPolice
Please please do something about the ever present traffic jams from Uttam Nagar to Dwarka More Metro station.,dtptraffic
My Brother name is Arun Tickoo his previous contact no 94960305641 his friend no is 9599922423 I am right now at Jammu.,DelhiPolice
Vow what a traffic management system we have Green Light - 20 secs Red Light - 200 secs traffic jam to hoga hi. No action taken.,dtptraffic
Plea seeking cancellation of int. Bail granted to : Delhi HC seeks policeâs response to respond by 19th July. ANI.,DelhiPolice
I request and to strongly follow Goons of they can plan riots. Congress Planning Riots.,DelhiPolice
Sir have you arrange any special train for kumbhmela if any how to get the information will be grateful to you of you answer.,RailMinIndia
Vendors are still selling water bottles at rs. 20 in 14257 K V Express. Please take necessary action.,RailMinIndia
No water in the wash basins. 11019-Konark express. Arriving Rajahmundry in 30 minute. Coach-S7. PNR-8346270779.,RailMinIndia
Restoration done by Jaipur div NW Railway. Preserving heritage and promoting water conservation in Rajasthan.,RailMinIndia
Take proper action if you actually care 4 people convenience.,RailMinIndia
Booked bike in a packers and movers from kapashera Delhi its been more than 15 days no news can you help me am in Patna.,DelhiPolice
Ji are you from delhi? Contact us city's police account on Twitter. For delhi its.,DelhiPolice
Sir there are many RATS in my compartment S6-6 is my coach bhuj to mumbai please take some action.,RailMinIndia
Traffic is always an issue in peak hours here at Noida more near new kondli due to non availability of traffic police 1/2.,dtptraffic
Why no action on these gamblers? These are from one particular community I hope you will team kill strict actions against.,RailMinIndia
I tried to buck lower birth. But dint get even after ancmnt. They won't be able to bored upper birth. Please help.,RailMinIndia
S beating d right nodes with delivery centric processes which are being monitored on real time basis. Way to go. Transforming India.,RailMinIndia
On 5Oct2015 CPC sent my Income tax return for 2015 to Gurgaon AO. No update from AO yet. No contact information available. Please help.,IncomeTaxIndia
After 2 calls to PCR this loudspeaker nuisance still hasn't stopped at 12 midnight. How impotent you?,DelhiPolice
3 calls made 2 PCR. Still no action. Loudspeaker still on. Pcr says v only convey message cant ensure action. Real sad state!,DelhiPolice
Please extend bedroll services to CDG and LKO and other areas too.,RailMinIndia
Sir it is a matter of disappointment that PATNA junction doesn't have Wi-Fi for its passengers.,RailMinIndia
Dear Commuters travelling from Noida to North DelhiISBT and beyond face the toughest time as the right on Vikas. Contd.,dtptraffic
Her name Pallavi Prasad Bhanushali. Missing from Kashi express. Please help please help please help.,RailMinIndia
No fans working at thivim railway station. No AC waiting room available.,RailMinIndia
Just a request to tell it to not cancel the ticket. Booth tickets are mine and I have paid full amount for both tickets. Possible?,RailMinIndia
Get broken seat in tatkal. No rply. Didnt expect this. Ruined trip.,RailMinIndia
Proud of you. U,DelhiPolice
Sir third line at gsn has been approved earlier. Space is there. Help movement of express freely. Please see.,RailMinIndia
I had been using irctc account with Idâbry_100â I am not aware why account has been disabled kindly help.,RailMinIndia
To get the same info but very sorry to say that they lack basic experience. Please try yourself 18001801961. Jai Hind,IncomeTaxIndia
Oh I forgot I'm speaking to legal gangsters. Ghar se typing one handed nahi utha loge mujhe? How much money to settle this,DelhiPolice
Hour 56 A 4165 near jwala heri underpas and McDonalds. Overload and no cover. I have also sent pictures to ngt.,dtptraffic
Please tel and see JI that failure of laws on cops led to this in US learn from it.,DelhiPolice
Amritsar swarn shatabdi halted at jalandhar stand for 1. 5 hours. No one infrmng reason. Please tell the reason.,RailMinIndia
Dirty shahad Railway station due to fruit vendors being allowed to operate on platform. Action needed.,RailMinIndia
Please fixed some lower berth quota for pregnant women also.,RailMinIndia
Please help. My car stolen from saraswati garden -15 in morning DL10CE7533 PLS HELP. NOBODY HELP ON THIS MATTER.,DelhiPolice
Only 2. 9 Can't remember Indians 2% of 130 Can't remember filed returns with in FY13. Direct Tax/GDP ratio at 5. 47% in FY15.,IncomeTaxIndia
Sir please help. My wife missing since 36 hours. Allahabad rpf office not taken FIR. Mumbai RPF got last mobile location Gonda dist.,RailMinIndia
PNR:8534230749 TRAIN:19039 DOJ:09-06-2016 TIME:22:40 Sleeper BDTS TO GKP Siddharth Sonk S7 16 FARE:680 SC:22. 9+PG CHGS.,RailMinIndia
Please note and help!,DelhiPolice
Retweeted Green TV à®à®¿à®°à¯à®©à¯ à®à®¿à®µ  Please.,DelhiPolice
Because of this my return for year 2011-12 and 2015-16 on hold. Transaction id - 2930244523 and 2451158671. Please help. Thanks.,IncomeTaxIndia
Experimental stoppage to 11447/11448 JBP-HWH-JBP Shaktipunj Express at Niwas Road station for a period of 6 months.,RailMinIndia
Thank you 4 making tax data public. It will immensely help in fact based approach to nation building.,IncomeTaxIndia
Constant red light king pictures of cars over stop line;doing nothing when pedestrians crossing greenlight causing havoc.,dtptraffic
Too much traffic jam. Munirka to Palam road. Stuck from the last 20 minutes. Odd even :.,dtptraffic
Train no. 11022 2AC super dirty bed linen. Stinking will make kids sick. Please help.,RailMinIndia
Follow Friday Take a look at this weekâs pictures. FF.,IncomeTaxIndia
Even in no parking areas people have parked their cars causing traffic jam at Connaught Place! On summer vacation?,dtptraffic
Please have mercy on me how will I manage to reach on time at gzb by 14217. PNR-2763568623. Please understand my mom is ptnt of ANXIETY.,RailMinIndia
30 hours since reporting theft of my car 3 visits to Shalimar Bagh police station fire yet to be registered.,DelhiPolice
Travel from gct to invest in 22419 pnr-2217057234 vendor sell the items â¹5 extra from mrp.,RailMinIndia
Charging point not working on train 15618. TTE flatly denies to help. Its been out of order for a long time. Please look into it.,RailMinIndia
Nsbhatnagar: no action taken after given CCTV footage toâ¦. Delhi Insider. Insider Tweets.,DelhiPolice
Delhi Insider: nsbhatnagar: no action taken after given CCTV footage toâ¦â¦. Fabulous Offers.,DelhiPolice
Sir please help me to take tablet. I ran out of water. Please tell me where I get drinking water. Pnr 4418216792.,RailMinIndia
Cleaning still required at platform No. 9 at Gorakhpur Railway Station.,RailMinIndia
The Fan not working in Ahmedabad chennai navjeevan express PNR 8530442888 urgent in summer difficult to sit.,RailMinIndia
Sovereign Unnathi bldr don't pay VAT etc. As per law seems OK wt Only honest are harassed.,IncomeTaxIndia
No confirm seats for 83 cadets of Sainik School Rewari Minute of Definitely help required by adding extra coach.,RailMinIndia
Now cancellation of tickets made made.,RailMinIndia
222 children rescued/reunited with their flies in 2015-16 form stations.,RailMinIndia
Bunch of Complaints are there for that person bit torrent he is still roaming freely and cheating people very often2/3.,DelhiPolice
Safesavaari has launched an application for Women safety. Need some help in connecting with.,dtptraffic
Girls going by Amravati fuck me BBSR tomato for national game. Kindly ensure conf seat.,RailMinIndia
My tweets are not for criticism. Its for reality. Please take it in right perspective. Cleanliness at anvt is good. Men at work 4 cleaning.,RailMinIndia
"Get """"Patanjali"""" into restaurants chains in railway stations -so that our nextGen. Eats healthy and stops eating less pizzasand kentucky fried chicken.",RailMinIndia
Booked d ticket and 12160 given pref to lower birth as SRctznand kid is there but didnt get.,RailMinIndia
Will. Someone please audit the necessity of floods of delhi govt' odd even on national channels lakhs? Trees could ve been planted,DelhiPolice
Sure of delhi vijay vihar has been arrested on charge of abetment to suicide.,DelhiPolice
Arrested his own Inspector for torturing a woman to death. Lady committed suicide yesterday. Inspector Dinesh Kr posted as SHO Vijay Vihar.,DelhiPolice
Attached picture of Auto and Driver. Overcharging and rude behaviour. From aiims to. Defence. Colony.,dtptraffic
Many Dtc bus and Orange buses overspeed to 60 kmph and drive zigzag. Please take note.,dtptraffic
Nellaiexp 12631/32 going to get LHB soon! I'm waiting? LHB. Nellai.,RailMinIndia
Do you provide hand towel in 3AC. 12391 shramjeevi express.,RailMinIndia
W/NE/IZN/000110911 I registered my complaint till now not got any reply. Please do needful. Source.,RailMinIndia
Please do the needful in uttam nagar Due to fruit sellers and rickshaws we are facing huge traffic on daily basis.,dtptraffic
Official TATKAL back hours fr AC 10-11am and fr Sleeper 11-12noon. Actually it is AC 10:00-10:02am and fr Sleeper 11:00-11:04am.,RailMinIndia
My Dad met an incident on way 2 Anand vihar ISBT. FIR lodged with Vivek Vihar PS. Can display picture provide feedback.,DelhiPolice
Why recruit 10th pass jats/gurjars when the majority population are uni graduates and english speaking.,DelhiPolice
Illegal construction by crpf Inspector. Dilbag Khan Need help urgently,DelhiPolice
Sir train no 11102 always 2 hours late dept from source station GWL why not you change timing of 11102 train.,RailMinIndia
[IRCTC 3301081] Ticket ID. Says amount has been refunded but bank officials say no such amount received. Please resolve.,RailMinIndia
Naam se ek company logo knock out kafi loot rahi hello please help sending fraud products.,DelhiPolice
TRAIN:12719 Ajmer Hyd hyd B3 bogie doesn't look cleaned. Passengers fault? Please get it cleaned. Thanks.,RailMinIndia
Hope take action if accident was hacked get the culprit or arrest this man for threatening people in DM.,DelhiPolice
A employee with a railway id card at sdah station don't allow me to use ATVM by my own.,RailMinIndia
Gatimaan exp- Best train by GOI. SUPERFAST clean but bad catering and no wifi connectivity. Please look into it.,RailMinIndia
Train Tickets for goa available Can't remember ac special train booking 01. 05. 2016.,RailMinIndia
Literally hell No water in train bathrooms fans are not working at train 18238 pnr- 2863614582. Please help sir.,RailMinIndia
Expert tegh bahadur Hospital Dilshad Garden red light could be free if your department make U-turn on Red light.,dtptraffic
Worst quality of tea at a very exorbitant price of Rs. 10 Would you like to drink such a tea.,RailMinIndia
Please 13168 knock out timely chalao. 2 ghante late chal rahi hello. Without station stop not applicable karo. Please.,RailMinIndia
Restaurants giving sale invoice without Tin no. And tax detail. Is this permissible,IncomeTaxIndia
ODD EVEN 2. 0 final Stat Over 7000 challans. Over â¹1. 50 Crore collected as fine. Highest challans on Day 11311.,DelhiPolice
No one visited since filed for for stolen car. 12 hours is this response time?,DelhiPolice
Dy waiting list leave a country before dy are summoned. Should cancel dr passport.,IncomeTaxIndia
Please clean shram shakti express at new delhi station immediately.,RailMinIndia
After standing at cst station no water in toilets of S4 of 10111 konkan kanya express.,RailMinIndia
Huge traffic jam at bangla sahib gurudwara. Cabs are standing in jam and we are waiting 4 them at railway station. Please clear jam.,dtptraffic
Over pathetic dropped. My fatherandmother on road at 12 midnight 10km away from home No action. By over,DelhiPolice
Sir parent looking see and act. With -.,DelhiPolice
Saare Fake Accident accident hello sirf bjp/rss/modi ke geet gaate hi. Take action now now abuse.,DelhiPolice
Railways doing wonders now. 3 trains arriving at Patna Junction same time same platform.,RailMinIndia
I have confirm ticket from SBJ to GHY in jivach link. Bit torrent gene from hp to SBJ. To me now its always happens with me.,RailMinIndia
Fuck you I hope the meaning meaning meaning isn't completely lost for you I'm on floor since 4 AM 8 in line!,RailMinIndia
Dear Dad The service you did for was precious. Thanks for the support Formalities formalities. Retirement Day.,RailMinIndia
Did file a cyber crime case in? If not yet. Reason? Please update.,DelhiPolice
Bread is is and mango drink is hot. Deteriorating services at high end end pnr 6551709217.,RailMinIndia
My Builder Kabul Chawla of BPTP is missing for last 8months please locate him 5000x 20 lags is at his stake. BPTP delay.,DelhiPolice
This car going through barricade on second 6-7 divider road rohini. Full black glass. Police just looking.,dtptraffic
Yes bio toilets are the need of the hour.,RailMinIndia
Am in 12028 to MAS. Express heavy jerk every now and then while train is in low speed. Seems txr staff lethargic,RailMinIndia
Railtel worst service between surat and umbergaon lazy staff too don't know why cuts on sunday only.,RailMinIndia
I will thanks for increasing punctuality of 1/3.,RailMinIndia
When 22851 vivek express comes to platform feels like vomiting! What do you mean by clean railway!,RailMinIndia
Sir Tatkal tickets are getting filled in 2min30secAld to NDLS. Its impossible to book manually. Please have a check on On and broker.,RailMinIndia
How Car Is Allowed During Rahgiri? Bring Those Those Who injured the poor Auto Driver And Damaged His Auto.,dtptraffic
Humans behind clothes devils within the clothes â Delhi policemen. Horrific. Shameful. Unapologetic behaviour.,DelhiPolice
Daylight Robbery by private. Med. Colleges through capitation fees goes unchecked by MCI amounting to 1000s crores.,IncomeTaxIndia
To disturb people is your Habib. Diesel all india permit hold by delhi traffic police without passenger even you didn't got secular.,dtptraffic
1. Train said RT at dhone station but arrived 30 minutes. 2. Coach position was wrong had to run with luggage.,RailMinIndia
This decision is bound to affect the mentality of officers and discourage them as Inspector Vijay is one of the best officers you have.,DelhiPolice
Please arrange for support staff on all the trains to resolve issues during travel provide their contact details.,RailMinIndia
Still tatkal fraud exists Request you to investigate. Info courtesy.,RailMinIndia
Suggest to Extend 12045/46 CDG Shatabdi to AGC Since this train stands empty at NDLS for 4 Hours.,RailMinIndia
Engineer not coming to attend in many station even after attendants complain to the station station.,RailMinIndia
Uttam Nagar intersection is a traffic mess. Please get traffic policeman to regulate it. Stuck for more than half hour.,dtptraffic
After 45 minutes got answer from constable at madhuban chowk reply thank you apna kaam kar.,dtptraffic
I am traveling on barauni special trn 04415 from barauni to new delhi and I am very much unsatisfied with facilities given.,RailMinIndia
Sure dinesh kumar has been dismissed by order of jt child porn outer. Suicide.,DelhiPolice
Sir. At Amity University. We had started ambulance campaign and would like to take support of delhi traffic police. Kindly guide us.,dtptraffic
